objectId,redDecimal,blueHex,greenFraction,hexCode,ACL,redHex,name,updatedAt,greenDecimal,redFraction,blueDecimal,greenHex,createdAt,blueFraction
fmYxuEY9jq,176,E6,0.88,#B0E0E6,null,B0,Powder blue,Fri Dec 13 2019 17:44:27 GMT-0600 (Central Standard Time),224,0.69,230,E0,Fri Dec 13 2019 17:44:27 GMT-0600 (Central Standard Time),0.9
dqGOIB2vxB,216,D1,0.7,#D8B2D1,null,D8,Pink lavender,Fri Dec 13 2019 17:44:27 GMT-0600 (Central Standard Time),178,0.85,209,B2,Fri Dec 13 2019 17:44:27 GMT-0600 (Central Standard Time),0.82
DyIKC1X8F1,255,F4,0.87,#FFDDF4,null,FF,Pink lace,Fri Dec 13 2019 17:44:27 GMT-0600 (Central Standard Time),221,1,244,DD,Fri Dec 13 2019 17:44:27 GMT-0600 (Central Standard Time),0.96
cZkMsjvfBV,229,E2,0.89,#E5E4E2,null,E5,Platinum,Fri Dec 13 2019 17:44:27 GMT-0600 (Central Standard Time),228,0.9,226,E4,Fri Dec 13 2019 17:44:27 GMT-0600 (Central Standard Time),0.89
QpPMLWdsld,142,85,0.27,#8E4585,null,8E,Plum,Fri Dec 13 2019 17:44:27 GMT-0600 (Central Standard Time),69,0.56,133,45,Fri Dec 13 2019 17:44:27 GMT-0600 (Central Standard Time),0.52
BdGowFva2C,93,93,0.64,#5DA493,null,5D,Polished Pine,Fri Dec 13 2019 17:44:27 GMT-0600 (Central Standard Time),164,0.36,147,A4,Fri Dec 13 2019 17:44:27 GMT-0600 (Central Standard Time),0.58
vZsymJ6r5T,89,B2,0.27,#5946B2,null,59,Plump Purple,Fri Dec 13 2019 17:44:27 GMT-0600 (Central Standard Time),70,0.35,178,46,Fri Dec 13 2019 17:44:27 GMT-0600 (Central Standard Time),0.7
eGUIwxkjnN,112,1C,0.11,#701C1C,null,70,Prune,Fri Dec 13 2019 17:44:27 GMT-0600 (Central Standard Time),28,0.44,28,1C,Fri Dec 13 2019 17:44:27 GMT-0600 (Central Standard Time),0.11
K9spgCNSnH,255,36,0.35,#FF5A36,null,FF,Portland Orange,Fri Dec 13 2019 17:44:27 GMT-0600 (Central Standard Time),90,1,54,5A,Fri Dec 13 2019 17:44:27 GMT-0600 (Central Standard Time),0.21
1TxB7m9PLZ,221,DD,0.63,#DDA0DD,null,DD,Plum (web),Fri Dec 13 2019 17:44:27 GMT-0600 (Central Standard Time),160,0.87,221,A0,Fri Dec 13 2019 17:44:27 GMT-0600 (Central Standard Time),0.87
bPJKmPBMYh,223,FF,0,#DF00FF,null,DF,Psychedelic purple,Fri Dec 13 2019 17:44:27 GMT-0600 (Central Standard Time),0,0.87,255,00,Fri Dec 13 2019 17:44:27 GMT-0600 (Central Standard Time),1
fY09zOhFzq,245,25,0.5,#F58025,null,F5,Princeton orange,Fri Dec 13 2019 17:44:27 GMT-0600 (Central Standard Time),128,0.96,37,80,Fri Dec 13 2019 17:44:27 GMT-0600 (Central Standard Time),0.15
